D:\College Docs\Assignments\برمجة هدفية\زهرة\Rivel\obj\Debug\Rivel.csproj.AssemblyReference.cache
D:\College Docs\Assignments\برمجة هدفية\زهرة\Rivel\obj\Debug\Rivel.csproj.CoreCompileInputs.cache
D:\College Docs\Assignments\برمجة هدفية\زهرة\Rivel\bin\Debug\Rivel.exe.config
D:\College Docs\Assignments\برمجة هدفية\زهرة\Rivel\bin\Debug\Rivel.exe
D:\College Docs\Assignments\برمجة هدفية\زهرة\Rivel\bin\Debug\Rivel.pdb
D:\College Docs\Assignments\برمجة هدفية\زهرة\Rivel\bin\Debug\Newtonsoft.Json.dll
D:\College Docs\Assignments\برمجة هدفية\زهرة\Rivel\bin\Debug\Newtonsoft.Json.xml
D:\College Docs\Assignments\برمجة هدفية\زهرة\Rivel\obj\Debug\Rivel.csproj.CopyComplete
D:\College Docs\Assignments\برمجة هدفية\زهرة\Rivel\obj\Debug\Rivel.exe
D:\College Docs\Assignments\برمجة هدفية\زهرة\Rivel\obj\Debug\Rivel.pdb
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\obj\Debug\Rivel.csproj.AssemblyReference.cache
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\obj\Debug\Rivel.csproj.CoreCompileInputs.cache
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\obj\Debug\Rivel.exe
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\obj\Debug\Rivel.pdb
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\Rivel.exe.config
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\Rivel.exe
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\Rivel.pdb
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\Newtonsoft.Json.dll
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\Newtonsoft.Json.xml
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\obj\Debug\Rivel.csproj.CopyComplete
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\BouncyCastle.Crypto.dll
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\Google.Protobuf.dll
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\K4os.Compression.LZ4.dll
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\K4os.Compression.LZ4.Streams.dll
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\K4os.Hash.xxHash.dll
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\Microsoft.Bcl.AsyncInterfaces.dll
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\MySql.Data.dll
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\System.Buffers.dll
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\System.Configuration.ConfigurationManager.dll
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\System.Diagnostics.DiagnosticSource.dll
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\System.IO.Pipelines.dll
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\System.Memory.dll
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\System.Numerics.Vectors.dll
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\System.Runtime.CompilerServices.Unsafe.dll
